epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,677.7,0.38215,0.36939,0.88617,0.99823,1,0.995,0.94483,0.36064,0.28471,0.85297,0.000847076,0.000847076,0.000847076
92,685.936,0.38701,0.36979,0.89729,0.99837,1,0.995,0.93238,0.34461,0.28218,0.85263,0.000843851,0.000843851,0.000843851
93,692.159,0.3818,0.3767,0.8686,0.99869,1,0.995,0.94516,0.33934,0.28891,0.84764,0.000840598,0.000840598,0.000840598
94,700.356,0.35331,0.35972,0.86637,0.99832,1,0.995,0.93874,0.33776,0.28139,0.84858,0.000837319,0.000837319,0.000837319
95,706.607,0.37404,0.35176,0.89497,0.99847,1,0.995,0.93076,0.34077,0.28515,0.85001,0.000834012,0.000834012,0.000834012
96,715.925,0.36697,0.35433,0.87274,0.99881,1,0.995,0.95106,0.33843,0.26781,0.85079,0.00083068,0.00083068,0.00083068
97,721.98,0.35211,0.33759,0.87186,0.99859,1,0.995,0.93723,0.33904,0.27488,0.85546,0.000827321,0.000827321,0.000827321
98,730.081,0.37621,0.36647,0.89209,0.9982,1,0.995,0.96189,0.35613,0.27414,0.8642,0.000823936,0.000823936,0.000823936
99,737.737,0.36267,0.34029,0.88435,0.9985,1,0.995,0.96575,0.32345,0.26151,0.85319,0.000820525,0.000820525,0.000820525
100,745.857,0.35846,0.33719,0.87582,0.99575,1,0.995,0.95074,0.31342,0.26862,0.8423,0.000817089,0.000817089,0.000817089
101,752.487,0.36022,0.37782,0.87796,0.99735,1,0.995,0.94963,0.33407,0.28784,0.85638,0.000813627,0.000813627,0.000813627
102,760.36,0.39639,0.394,0.87369,0.99711,1,0.995,0.93063,0.3591,0.32506,0.86747,0.000810141,0.000810141,0.000810141
103,767.056,0.35507,0.33625,0.87395,0.99873,1,0.995,0.94125,0.33109,0.29577,0.85831,0.000806631,0.000806631,0.000806631
104,775.055,0.35749,0.35579,0.87245,0.9985,1,0.995,0.92873,0.35411,0.28545,0.86851,0.000803096,0.000803096,0.000803096
105,782.116,0.37646,0.35052,0.88386,0.99861,1,0.995,0.94329,0.33373,0.28023,0.85748,0.000799536,0.000799536,0.000799536
106,790.36,0.35908,0.33411,0.88307,0.99861,1,0.995,0.9479,0.33137,0.28731,0.85039,0.000795954,0.000795954,0.000795954
107,797.602,0.36295,0.34239,0.86964,0.99864,1,0.995,0.93098,0.3364,0.29774,0.85769,0.000792347,0.000792347,0.000792347
108,805.108,0.37107,0.3413,0.88869,0.99876,1,0.995,0.93642,0.32479,0.27911,0.84881,0.000788718,0.000788718,0.000788718
109,812.391,0.39843,0.3654,0.88401,0.99885,1,0.995,0.94134,0.31745,0.25017,0.84101,0.000785066,0.000785066,0.000785066
110,820.18,0.36193,0.3445,0.88227,0.99872,1,0.995,0.9563,0.31933,0.26233,0.85002,0.000781391,0.000781391,0.000781391
