epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,1122.81,0.35937,0.32117,0.88444,0.99786,1,0.995,0.95749,0.32248,0.25656,0.85199,0.000743468,0.000743468,0.000743468
121,1131.68,0.37507,0.34147,0.8912,0.99856,1,0.995,0.95946,0.32165,0.24539,0.85195,0.000739565,0.000739565,0.000739565
122,1139.69,0.34615,0.31442,0.85782,0.99837,1,0.995,0.95533,0.3116,0.22511,0.85156,0.000735643,0.000735643,0.000735643
123,1148.31,0.35455,0.31091,0.8868,0.99931,1,0.995,0.96837,0.33781,0.24654,0.85909,0.000731702,0.000731702,0.000731702
124,1156.68,0.33004,0.34945,0.87771,0.99928,1,0.995,0.9549,0.35113,0.24354,0.87032,0.000727744,0.000727744,0.000727744
125,1167.08,0.37903,0.34874,0.90978,1,0.99864,0.995,0.93873,0.37395,0.25458,0.88709,0.000723767,0.000723767,0.000723767
126,1176.72,0.34212,0.31101,0.87246,0.99852,1,0.995,0.94567,0.32889,0.23294,0.85377,0.000719772,0.000719772,0.000719772
127,1184.69,0.36233,0.29461,0.87879,0.99819,1,0.995,0.95999,0.31731,0.23141,0.8515,0.000715761,0.000715761,0.000715761
128,1193.67,0.33081,0.29374,0.85816,0.99831,1,0.995,0.95098,0.31575,0.22936,0.85422,0.000711732,0.000711732,0.000711732
129,1202.97,0.33838,0.30796,0.87561,0.99861,1,0.995,0.95767,0.32527,0.22587,0.85599,0.000707687,0.000707687,0.000707687
130,1211.62,0.36221,0.325,0.91101,0.99835,1,0.995,0.96264,0.30458,0.22767,0.84354,0.000703625,0.000703625,0.000703625
131,1220.53,0.32047,0.28832,0.87413,0.99875,1,0.995,0.96118,0.30282,0.2234,0.84116,0.000699547,0.000699547,0.000699547
132,1230.09,0.32833,0.2763,0.86114,0.99875,1,0.995,0.96854,0.29107,0.21477,0.8399,0.000695454,0.000695454,0.000695454
